Nama,Harga
CORSAIR DDR5 DOMINATOR TITANIUM RGB WHITE PC51200 32GB,Rp3.454.000
CORSAIR DDR5 DOMINATOR TITANIUM RGB BLACK PC51200 32GB,Rp3.454.000
CORSAIR DDR5 DOMINATOR TITANIUM RGB BLACK PC48000 32GB,Rp3.310.000
TEAM TCREATE CLASSIC DDR5 PC48000 32GB,Rp1.867.000
ADATA DDR5 XPG LANCER WHITE PC41600 16GB,Rp1.119.000
ADATA DDR5 XPG LANCER PC41600 16GB,Rp1.119.000
KLEVV BOLT V DDR5 PC54400 6800MHZ 32GB,Rp2.151.000
PNY PERFORMANCE DDR5 PC38400 4800MHZ 8GB,Rp495.000
GSKILL DDR5 TRIDENT Z5 PC44800 96GB,Rp5.680.000
ADATA DDR5 XPG LANCER BLADE PC48000 32GB,Rp2.009.000
KLEVV DDR5 VALUE SERIES PC44800 5600MHZ 32GB,Rp1.593.000
TEAM TCREATE CLASSIC DDR5 PC44800 32GB,Rp1.720.000
CORSAIR DDR5 DOMINATOR PLATINUM RGB PC48000 64GB,Rp5.280.000
VGEN PLATINUM DDR5 16GB,Rp931.000
TRANSCEND JETRAM DDR5 PC44800 5600MHZ 16GB,Rp871.000
KINGSTON FURY BEAST DDR4 3200MHZ 16GB,Rp711.000
CORSAIR DDR5 DOMINATOR PLATINUM RGB PC51200 2X16GB CMT32GX5M2B6400C32,Rp3.316.000
PNY PERFORMANCE DDR5 PC38400 4800MHZ 32GB,Rp1.497.000
KLEVV CRAS V RGB DDR5 PC51200 6400MHZ 32GB,Rp2.201.000
KLEVV CRAS V RGB DDR5 PC48000 6000MHZ 32GB,Rp2.100.000
TEAM ELITE PLUS SILVER DDR5 PC41600 5200MHZ 64GB,Rp3.511.000
VGEN PLATINUM DDR4 4GB,Rp216.000
KLEVV BOLT V DDR5 PC51200 6400MHZ 32GB,Rp1.999.000
KLEVV BOLT V DDR5 PC48000 6000MHZ 32GB,Rp1.848.000
ADATA DDR4 XPG SPECTRIX D35G PC25600 3200MHZ 16GB,Rp800.000
ADATA DDR4 XPG GAMMIX D35 WHITE VERSION PC25600 3200MHZ 16GB,Rp709.000
