Nama,Harga
GIGABYTE GEFORCE RTX 4060 8GB GDDR6 GAMING OC,Rp5.813.000
GIGABYTE GEFORCE RTX 4060 8GB GDDR6 AERO OC,Rp5.839.000
MSI GEFORCE RTX 3060 TI 8GB GDDR6X,Rp6.275.000
GIGABYTE GEFORCE RTX 4060 TI 8GB GDDR6 EAGLEN406TEAGLE,Rp6.930.000
GIGABYTE GEFORCE RTX 4060 TI 8GB GDDR6 AORUS ELITE GVN406TAORUS E,Rp8.029.000
IGAME GEFORCE RTX 3050 8GB GDDR6 ULTRA W DUO OC,Rp3.798.000
PALIT GEFORCE RTX 3050 8GB GDDR6 DUAL V1,Rp3.598.000
COLORFUL GEFORCE GTX 1660 SUPER 6GB GDDR6 NB DUO 6GV,Rp3.536.000
ZOTAC GEFORCE RTX 3050 8GB GDDR6 SOLO,Rp3.429.000
COLORFUL GEFORCE RTX 3050 8GB GDDR6 NB DUO 8GV,Rp3.598.000
ARKTEK GEFORCE GTX 1650 4GB GDDR6 MATRIX,Rp2.302.000
GIGABYTE GEFORCE RTX 4060 TI 8GB DDR6 GAMING OC,Rp7.874.000
GIGABYTE GEFORCE RTX 4060 TI 8GB GDDR6 EAGLE OC,Rp7.603.000
GIGABYTE GEFORCE RTX 4060 TI 8GB GDDR6 AERO OC,Rp8.089.000
MSI GEFORCE RTX 4060 TI 8GB GDDR6,Rp7.865.000
INNO3D GEFORCE RTX 4060 TI 8GB GDDR6,Rp6.849.000
INNO3D GEFORCE RTX 4060 TI 8GB GDDR6,Rp6.982.000
GALAX GEFORCE RTX 4060 TI 8GB DDR6 EX,Rp7.302.000
GALAX GEFORCE RTX 4060 TI 8GB GDDR6 EX,Rp7.201.000
GIGABYTE GEFORCE RTX 3060 8GB GAMING OC,Rp4.629.000
INNO3D GEFORCE RTX 4070 12GB GDDR6X,Rp10.880.000
INNO3D GEFORCE RTX 4070 12GB GDDR6X,Rp9.890.000
INNO3D GEFORCE RTX 4070 12GB GDDR6X,Rp11.444.000
MSI GEFORCE RTX 4080 16GB GDDR6X,Rp25.510.000
INNO3D GEFORCE GTX 1650 4GB DDR6 TWIN X2 OC,Rp2.259.000
INNO3D GEFORCE RTX 3050 8GB GDDR6 TWIN X2 OC,Rp3.771.000
GALAX GEFORCE RTX 4070 12GB DDR6X EX GAMER PINK,Rp10.029.000
