Nama,Harga
ORICO V500 256GB M2 NVME PCIE X4,Rp881.000
APACER AS350 256GB PANTHER,Rp417.000
SSD TEAM MP33 256GB M2 2280 NVME,Rp380.000
SSD V GEN SSD M2 1TB,Rp1.048.000
SSD TEAM MP33 1TB M2 2280 NVME,Rp1.045.000
SSD TEAM T253X2512G0C101 GX2 512GB,Rp526.000
WDC GREEN PC SSD 480GB,Rp657.000
SAMSUNG SSD 970 EVO PLUS M2 1TB MZ V7S1T0BW,Rp1.852.000
SSD TEAM GX2 1TB SATA 3,Rp1.215.000
SSD TEAM GX2 2TB SATA 3,Rp2.170.000
V GEN SSD M2 NVME 1TB,Rp1.152.000
V GEN SSD M2 NVME 512GB,Rp636.000
V GEN SSD M2 NVME 128GB,Rp276.000
SSD TEAM GX2 256GB SATA 3,Rp369.000
TRANSCEND MTS830 512GB M2 SATA 2I,Rp897.000
TRANSCEND MTS830 256GB M2 SATA 2I,Rp578.000
TRANSCEND MTS830 128GB M2 SATA 2I,Rp393.000
TRANSCEND TS1TMTE220S NVME PCIE GEN 3X4 M2 1TB,Rp1.622.000
V GEN SSD M2 NVME 256GB,Rp401.000
TRANSCEND 230S 1TB SSD SATA3 TLC,Rp1.528.000
TRANSCEND TS512GMTE110S NVME PCIE GEN 3X4 M2 512GB,Rp923.000
TRANSCEND TS256GMTE110S NVME PCIE GEN 3X4 M2 256GB,Rp450.000
TRANSCEND 230S 128GB SSD SATA3 TLC,Rp433.000
KINGSTON SSD NOW SA400 SA400S37,Rp620.000
TRANSCEND TS512GMTE220S NVME PCIE GEN 3X4 M2 512GB,Rp975.000
WDC BLUE PC SSD 1TB,Rp1.377.000
WDC GREEN PC SSD 240GB,Rp516.000
APACER AST280 120GB M2,Rp260.000
V GEN SSD M2 512GB,Rp563.000
V GEN SSD M2 256GB,Rp359.000
V GEN SSD M2 128GB,Rp232.000
SANDISK SSD ULTRA 3D 500GB,Rp928.000
KINGSTON SSD NOW SA400 SA400S37,Rp474.000
WDC BLUE PC SSD 250GB,Rp698.000
WDC BLUE PC SSD 500GB,Rp902.000
ADATA SSD SU650 120GB SATA 2I,Rp235.000
SANDISK SSD PLUS 480GB,Rp672.000
SANDISK SSD PLUS 240GB,Rp521.000
PNY CS2142 M2 2230 NVME PCIE GEN 4X4 1TB,Rp1.523.000
CORSAIR MP600 ELITE 1TB M2 NVME PCIE GEN 4X4 WITH HEATSINK,Rp1.773.000
APACER AS2280Q4L 1TB M2 NVME PCIE X4,Rp1.283.000
VENOMRX VRX NVME 128GB M2 PCIE GEN 3,Rp236.000
SSD PNY XLR8 GAMING CS3140 M2 2280 NVME PCIE GEN 4X4 4TB,Rp5.080.000
LEXAR NM790 NVME M2 PCIE GEN4�4 2TB,Rp2.827.000
MSI SPATIUM M460 M2 NVME PCIE GEN 4X4 1TB,Rp1.371.000
PNY CS900 SERIES 4TB,Rp3.542.000
VENOMRX VRX SUPER 512GB M2 SATA 2I,Rp582.000
VENOMRX VRX NVME 256GB M2 PCIE GEN 3,Rp349.000
SSD PARADOX GAMING BALLISTA ADVANCE SSD 256GB M2 NVME 2280,Rp359.000
ADATA LEGEND 960 1TB NVME PCIE GEN 4X4,Rp1.408.000
WDC GREEN SN350 SSD 500GB M2 NVME PCIE GEN 3X4,Rp709.000
PARADOX GAMING CORE CLASSIC SSD 512GB SATA3,Rp459.000
TEAM MP33 PRO 2TB M2 PCIE X4,Rp1.721.000
KLEVV SSD CRAS C910 LITE 500GB M2 2280 NVME PCLE GEN 4X4,Rp760.000
KLEVV SSD CRAS C910 LITE 2TB M2 2280 NVME PCLE GEN 4X4,Rp2.029.000
