Nama,Harga
FSP SFX DAGGER PRO WHITE 850W PCIE50 80 PLUS GOLD FULL MODULAR,Rp2.537.000
MSI MAG A500DN 500W 80 PLUS STANDARD,Rp691.000
SEASONIC VERTEX PX 1200 FULL MODULAR 80 PLUS PLATINUM ATX,Rp4.070.000
SEASONIC VERTEX PX 1000 FULL MODULAR 80 PLUS PLATINUM ATX,Rp3.565.000
DEEPCOOL 650W,Rp848.000
BE QUIET SYSTEM POWER 9 400W,Rp725.000
POWER SUPPLY DEEPCOOL 650W,Rp778.000
ASUS TUF GAMING 1000W,Rp2.967.000
FSP HYDRO GE 550W 80 PLUS GOLD,Rp1.279.000
FRACTAL DESIGN ION 850W 80 PLUS GOLD,Rp1.609.000
MONTECH BETA 550W 80 PLUS BRONZE,Rp597.000
ASUS ROG LOKI SFX L 1000W,Rp4.101.000
MSI MAG A750GL PCIE5 750W 80 PLUS GOLD FULL MODULAR,Rp1.676.000
ANTEC NEOECO GOLD MODULAR NE750G M 80 PLUS GOLD,Rp1.608.000
ANTEC NEOECO GOLD MODULAR NE650G M 80 PLUS GOLD,Rp1.429.000
DEEPCOOL 850W,Rp1.765.000
DEEPCOOL 550W,Rp647.000
DEEPCOOL 550W,Rp736.000
BE QUIET SYSTEM POWER 10 U 650W,Rp1.017.000
SUPER FLOWER LEADEX PLATINUM 2000W SF 2000F14HP FULL MODULAR PCIE,Rp5.888.000
BE QUIET PURE POWER 12 M 550W,Rp1.465.000
BE QUIET PURE POWER 12 M 1000W,Rp2.631.000
SUPER FLOWER LEADEX VII GOLD 850W SF 850F14XG BK FULL MODULAR PCIE,Rp2.232.000
SUPER FLOWER LEADEX VII GOLD 1000W SF 1000F14XG MODULAR PCIE,Rp2.636.000
SUPER FLOWER LEADEX III GOLD ARGB 850W,Rp1.999.000
POWER SUPPLY INFINITY 550W,Rp523.000
GIGABYTE GP UD750GM 750W 80 PLUS GOLD,Rp1.620.000
POWER UP NERO 225W,Rp152.000
COOLER MASTER MWE GOLD 1250 V2 ATX 80 PLUS GOLD,Rp3.631.000
