Nama,Harga
Zotac Gaming GeForce RTX 3050 Solo 8GB GDDR6 VGA RTX3050,Rp3.135.000
ASRock Intel Arc A380 Low Profile 6GB,Rp1.999.000
VGA MSI Geforce GT 710 2GB - GT710 2 GB DDR3 LP,Rp649.000
MSI GeForce RTX 4080 16GB GAMING X TRIO,Rp18.111.000
VGA ZOTAC GeForce RTX 3050 LP 6GB GDDR6,Rp3.060.000
SAPPHIRE PULSE Radeon RX 7600 8GB,Rp4.685.000
Gigabyte Nvidia GeForce RTX 4060 OC Low Profile 8GB DDR6,Rp6.450.000
ZOTAC GTX 1050 2GB GDDR5 hemat daya  adem ,Rp900.000
SAPPHIRE Radeon RX 7600 PULSE 8GB OC GDDR6,Rp4.690.000
XFX SPEEDSTER SWFT 210 AMD RADEON RX 7600 CORE EDITION 8GB GDDR6,Rp4.560.000
XFX AMD RADEON RX 7900 GRE 16GB GDDR6,Rp9.999.000
Palit GTX 1650 4GB GDDR5 mantap jozz,Rp1.450.000
Inno3D GTX 1050 2GB Dual fan Adem,Rp900.000
VGA ASUS TUF GTX1650 O4GD6-P-V2-GAMING OC / VGA 1650,Rp2.325.000
VGA Gigabyte GTX 1660 6GB | GTX1660 6 GB Windforce OC GDDR5 D5 Gaming,Rp1.850.000
Palit GeForce RTX 3050 8GB Dual,Rp3.674.000
Gigabyte GTX 1060ti  GTX 1050 GTX 960 FAN dan HSF,Rp150.000
SAPPHIRE PURE Radeon RX 7800 XT Gaming OC 16GB GDDR6 RDNA 3 RX7800XT,Rp8.990.000
SALE XLIM PRO ORISINIL,Rp295.000
ZOTAC GAMING GeForce RTX 4070 SUPER Twin Edge OC 12GB GDDR6X,Rp9.940.000
VGA RX 570 8GB LIKE NEW, MURAH BERGARANSI,Rp1.150.000
VGA RX 6700XT 12GB RED DEVIL, KENCENG BANGET, MURAHLIKE NEW BERGARANSI,Rp3.950.000
VGA MSI Geforce GT 710 2GB - GT710 2 GB DDR3,Rp582.000
Vga pcie AMD Radeon 1Gb 64bit Ddr3,Rp195.000
INNO3D GEFORCE RTX 4070 Ti SUPER X3 OC,Rp15.029.000
ASUS ROG STRIX RTX 4090 OC 24GB GDDR6X,Rp38.990.000
ASUS Dual Radeon RX 7600 XT 16GB OC Edition,Rp5.904.000
GPD G1 2024  Graphics Card Expansion Dock eGPU RX 7600M XT UPDATED,Rp11.499.000
VGA Colorful Geforce GTX 1650 EX 4GB-V 4GB - 4 GB GDDR6,Rp2.155.000
XFX Speedster SWFT 210 AMD Radeon� RX 6600 8GB GDDR6,Rp3.099.000
VGA Midasforce Nvidia GT730 DDR3 2GB 128 bit LP Garansi 2 Tahun,Rp560.000
VGA RTX 3080 MSI GAMING TRIO, LIKE NEW BERGARANSI,Rp7.199.999
Vga Gigabyte GeForce RTX 4060 Ti WINDFORCE OC 8G GDDR6,Rp6.350.001
GIGABYTE AORUS MASTER RTX 3070 NVIDIA GRAPHIC CARD SECOND EX GAMING,Rp5.800.000
PowerColor R7 240 2GB DDR5 64BIT,Rp535.000
ZOTAC GAMING GeForce RTX 4080 SUPER 16GB Trinity Black Edition,Rp16.647.000
ZOTAC RTX 4060 TWIN EDGE OC 8GB DDR6 128BIT,Rp4.860.000
XFX AMD Radeon RX 7900 GRE 16GB GDDR6 RDNA� 3 ,Rp9.589.000
SAPPHIRE PULSE Radeon RX 7900 XTX 24GB Gaming OC,Rp18.857.000
SAPPHIRE PURE Radeon RX 7800 XT 16GB,Rp9.916.000
Msi 1070 ti,Rp1.850.000
GIGABYTE GeForce RTX 3050 8GB WINDFORCE OC,Rp3.766.000
Oem VGA GTX 650 1G 128Bit DDR5,Rp400.000
SAPPHIRE AMD Radeon RX 7800 XT PULSE 16GB GDDR6,Rp9.380.000
GIGABYTE GeForce RTX 4060 8GB AERO OC,Rp6.034.000
RX 550 2Gb MSI Aero ITX,Rp680.000
VGA XFX RX580 8GB GDDR5,Rp1.099.999
Dus VGA,Motherboard,SSD,PSU,RAM All Merk,Rp6.000
VGA RX7 GT 610 LP 2GB DDR3 64 BIT REAL CAPACITY RESMI,Rp310.000
VGA radeon HD R5 240 1GB DX12 diatas GT 730 DDR3 GTA V PubG dllnya ok,Rp259.000
VGA AMD RADEON RX 580 8GB GDDR5 256 BIT,Rp969.000
DARKFLASH DL280 ARGB VGA HOLDER,Rp265.000
GALAX Geforce RTX 4060 8GB GDDR6 (1-Click OC) 2X Lighting EFFECT,Rp5.291.000
GALAX Geforce GTX 1630 4GB DDR6 EX (1-Click OC) - DUAL FAN,Rp2.131.000
VGA GIGABYTE GTX 950 2GB DDR5 128 BIT,Rp900.000
ASUS DUAL GeForce RTX 4070 SUPER OC 12GB GDDR6X,Rp11.950.000
ZOTAC GAMING GeForce RTX 4060 8GB Twin Edge OC,Rp4.980.000
SAPPHIRE AMD Radeon RX 7800 XT PURE OC 16GB GDDR6,Rp9.230.000
HIS RX 560 iCooler OC 4gb gddr5 HIS RX560,Rp950.000
ASUS ROG STRIX RTX 4060 GAMING OC 8GB GDDR6,Rp6.710.000
gtx 750 ti / 750ti 2gb gddr5,Rp795.000
VGA POWERCOLOR RX 550 4GB DDR5 - RED DRAGON Low Profile Radeon rx550,Rp1.118.000
EZDIY-FAB 12VHPWR 180� TURN ALUMUNIUM ADAPTER PCIE VGA,Rp215.000
Vga card amd R5240 1gb,Rp120.000
LQ VINCl 30 mili,Rp10.000
NEW Lenovo NVIDIA GeForce RTX 3060 Card - 12GB GDDR6X 5V10W62742,Rp5.999.000
MSI VGA RTX 4070 SUPER 12G GMNG X MLG,Rp13.929.480
